text,Author_num
"['never', 'to', 'eat', 'your', 'own', 'beef.', 'The', 'adage\nis', 'worth', 'transplanting.', ""We'll"", 'beef', 'him.', 'The', 'lines', 'of', 'intrenchment', 'are\nencouraging.""\n\nThe', 'latter', 'remarks', 'were', 'not', 'fully', 'understood', 'by']",1
"['such', 'moments', 'a', 'wife’s', 'duty', 'is', 'at', 'her', 'husband’s', 'side.”\n\nThe', 'problem', 'of', 'Effie’s', 'future', 'might', 'have', 'disturbed', 'her,', 'she', 'added;', 'but\nsince', 'Anna,', 'for', 'a', 'time,']",2
"[""Belknap's"", 'children\n\nby', 'M.', 'A.', 'Glaze\n\n\nFriends', 'and', 'neighbors', 'all', 'draw', 'near,', 'And', 'listen', 'to', 'what', 'I', 'have', 'to', 'say;\nAnd', 'never', 'leave', 'your', 'children', 'dear', 'When', 'they']",3
"['quite', 'near\nto', 'us,', 'and', 'like', 'us.', 'We', 'wonder', 'what', 'kind', 'of', 'a', 'creature', 'he', 'is;', 'but', 'he', 'is\njust', 'we,', 'ourselves.', 'We', 'are', 'only', 'the', 'wood,']",0
"['ride', 'it,', 'and', 'look', 'at', 'the\nscenery.', 'Thirty', 'or', 'forty', 'feet', 'of', 'its', 'tail', 'was', 'lying', 'on', 'the', 'ground,', 'like\na', 'fallen', 'tree,', 'and', 'she', 'thought', 'she']",3
"['crowd', 'surge', 'up', 'and', 'down', 'in', 'a', 'glare', 'of', 'lights', 'and', 'gilding.\nThen,', 'as', 'she', 'complained', 'of', 'the', 'heat,', 'he', 'led', 'her', 'through', 'the', 'press', 'to']",2
"['following', 'him\ndeprecatingly.', '“I', 'didn’t', 'think', 'it', 'would', 'hurt', 'you', 'so', 'much.', 'It', 'was', 'such', 'a\nlittle', 'whip.', 'I', 'am', 'sure', 'you', 'didn’t', 'take', 'the', 'peaches.', 'You']",0
"['monk', 'sitting', 'on', 'a', 'rock,', 'looking\ntranquilly', 'up', 'to', 'heaven,', 'with', 'a', 'human', 'skull', 'beside', 'him,', 'and', 'without\nother', 'baggage,', 'we', 'know', 'that', 'that', 'is', 'St.', 'Jerome.']",3
"['she', 'added;', '“you’re', 'just', 'the', 'kind.', 'She', 'has\nheaps', 'of', 'money', 'to', 'pay', 'you', 'with;', 'has', 'everything', 'that', 'money', 'can', 'buy.', 'And', 'I\ngot', 'a', 'letter', 'with']",0
"['his', 'indignation', 'would', 'grow', 'till', 'he', 'could\ncontain', 'himself', 'no', 'longer--and', 'then', 'he', 'would', 'take', 'that', 'ship', 'home', 'where\nhe', 'lived', 'and', 'keep', 'it', 'there', 'carefully,', 'expecting']",3
"['know\nme', 'as', 'I', 'am.', 'If', 'I', 'thought', 'that', 'at', 'that', 'moment', '...', 'when', 'you', 'were', 'on', 'your', 'way\nhere,', 'almost----”\n\nHe', 'dropped', 'her', 'hand', 'and', 'stood', 'up.']",2
"['better', 'to', 'rope', 'him', 'in', 'with', 'the', 'promise', 'of\nthe', 'first', 'two', 'dollars', 'and', 'a', 'half', 'you', 'find', 'floating', 'down', 'the', 'river', 'on', 'a\ngrindstone.', 'In', 'the']",3
"['came', 'on', 'with', 'a', 'sullen', 'stride', 'that', 'thirst', 'enforces.', 'The', 'previous\nscene', 'of', 'contentment', 'gave', 'way', 'to', 'frenzy.', 'The', 'heavy', 'beeves,', 'equally\nselect', 'with', 'the', 'vanguard,', 'floundered']",1
"['“You’ll', 'let', 'me', 'kiss', 'you,', 'Em,\njust', 'for', 'old', 'friendship’s', 'sake.”', 'He', 'stooped', 'down.', '“You', 'must', 'look', 'upon', 'me\nas', 'a', 'dear', 'brother,', 'as', 'a', 'cousin', 'at']",0
"['a', 'tangent.\n\n“Oh,', 'I', 'never', 'mean', 'to', 'marry,”', 'she', 'had', 'rejoined', 'in', 'a', 'tone', 'of', 'youthful\nfinality.\n\n“I', 'seem', 'to', 'have', 'heard', 'that', 'before!”\n\n“Yes;', 'from', 'girls', 'who’ve', 'only']",2
"['again,\nand', 'shedding', 'that', 'water', 'out', 'of', 'the', 'places', 'she', 'looks', 'with.', 'I', 'was', 'obliged\nto', 'return', 'with', 'her,', 'but', 'will', 'presently', 'emigrate', 'again', 'when', 'occasion\noffers.', 'She']",3
"['and', 'whether', 'a', 'certain\ninjury', 'to', 'the', 'brain', 'would', 'produce', 'blindness', 'or', 'not,', 'but', 'they', 'could', 'not\nagree', 'about', 'it,', 'and', 'said', 'they', 'must', 'test', 'it', 'by']",3
"['into', 'a', 'run', 'at', 'sight', 'of', 'water,', 'if', 'grazed', 'up', 'to', 'it.\nYou', 'may', 'take', 'one', 'point', 'and', ""I'll"", 'take', 'the', 'other.""\n\nThe', 'existing', 'drouth', 'promised', 'a']",1
"['trough', 'over', 'and', 'over', 'to', 'dislodge', 'the', 'bait.\nKeep', 'your', 'holders', 'out', 'in', 'the', 'open,', 'exposed', 'to', 'the', 'elements,', 'scald', 'the\nloading', 'tools', 'before', 'using,', 'and', 'you']",1
"['until', 'late', 'that', 'afternoon', 'that', 'Darrow', 'could', 'claim', 'his\npostponed', 'hour', 'with', 'Anna.', 'When', 'at', 'last', 'he', 'found', 'her', 'alone', 'in', 'her\nsitting-room', 'it', 'was', 'with', 'a']",2
"['the', 'court-yard', 'wall', 'the', 'flower-garden', 'drew', 'its', 'dark-green\nsquares', 'and', 'raised', 'its', 'statues', 'against', 'the', 'yellowing', 'background', 'of', 'the\npark.', 'In', 'the', 'borders', 'only', 'a', 'few', 'late']",2
"['perfectly', 'simulated,', 'and', 'the', 'result', 'is', 'a', 'performance\nwhich', 'is', 'thoroughly', 'charming', 'and', 'delicious.', 'This', 'is', 'art--and', 'fine', 'and\nbeautiful,', 'and', 'only', 'a', 'master', 'can', 'compass', 'it;']",3
"['have', 'heard', 'about', 'long', 'enough\nand', 'don’t', 'care', 'about', 'it;', 'but', 'this', 'new', 'law', 'sets', 'us', 'on', 'fire.\n\nWe', 'will', 'deny', 'ourself.', 'Our', 'little', 'wagon', 'that', 'we']",0
"['uncertainty\nremains,', 'the', 'mystery', 'abides,', 'and', 'with', 'it', 'the', 'charm.', 'Guess', 'again.\n\nIf', 'I', 'had', 'a', 'phrase-book', 'of', 'a', 'really', 'satisfactory', 'sort', 'I', 'would', 'study', 'it,\nand', 'not']",3
"['as', 'a', 'whole', 'rounded', 'into', 'form,', 'reflecting', 'its\ntenacity', 'of', 'life', 'and', 'the', 'able', 'handling', 'of', 'its', 'owners.\n\nWithin', 'ten', 'days', 'of', 'the', 'close', 'of', 'the', 'month,']",1
"['publishing', 'it,', 'right', 'in', 'the', 'face', 'of', 'the\nprohibition.\n\nFor', 'the', 'rest', 'of', 'the', 'day', 'Sally', 'made', 'havoc', 'and', 'confusion', 'with', 'his', 'books,\nand', 'Aleck', 'could', 'not', 'keep']",3
"['nurse', 'and', 'the', 'puppy', 'and', 'I', 'used', 'to', 'play', 'in', 'the', 'summer', 'in\nthe', 'shade', 'of', 'a', 'great', 'elm,', 'and', 'there', 'the', 'footman', 'dug', 'a', 'hole,']",3
"['they', 'want', 'men', 'of', 'talent;', 'they', 'want', 'men', 'of', 'ability', 'to\nopen', 'up', 'that', 'land.', 'Let', 'us', 'go.’\n\n“I', 'bought', 'eight', 'thousand', 'pounds’', 'worth', 'of', 'machinery--winnowing,', 'plowing,\nreaping']",0
"['he', ""doesn't"", 'recover', 'as', 'soon', 'as', 'expected,""', 'cautiously\nprotested', 'Joel,', '""where', 'are', 'we', 'to', 'get', 'further', 'provision?""\n\n""Good', 'suggestion,""', 'assented', 'the', 'trail', 'foreman.', '""But', 'here:', ""I'll"", 'leave']",1
"['in', 'my', 'judgment.', 'The', 'difference\nin', 'size', 'warrants', 'the', 'conclusion', 'that', 'it', 'is', 'a', 'different', 'and', 'new', 'kind', 'of\nanimal--a', 'fish,', 'perhaps,', 'though', 'when', 'I', 'put', 'it']",3
"['relief', 'was', 'hardly', 'less', 'great.', 'After', 'all,', 'his', 'personal', 'responsibility\nceased', 'with', 'her', 'departure', 'from', 'Givre.\n\n“You’ll', 'tell', 'me', 'about', 'that,', 'then--won’t', 'you?”\n\nHer', 'smile', 'flickered', 'up.', '“Oh,']",2
"['toward', 'a', 'provisional', 'shelter.\nBut', 'now', 'that', 'he', 'was', 'leaving', 'it,', 'was', 'looking', 'at', 'it', 'for', 'the', 'last', 'time,\nit', 'seemed', 'to', 'have', 'taken', 'complete', 'possession', 'of']",2
"['""these', 'gentlemen', 'want', 'to\nmake', 'an', 'early', 'start.', ""You'll"", 'have', 'to', 'bring', 'in', 'the', 'horses', 'while', 'I', 'get\nbreakfast.', 'Come', 'on.""\n\n\n\n\nCHAPTER', 'III\n\nTHE', 'BOTTOM', 'RUNG\n\n\nAn', 'early', 'start', 'was']",1
"['will', 'reach', 'here', 'early', 'during', 'the', 'afternoon.""\n\nThe', 'homestead', 'presented', 'a', 'busy', 'scene', 'for', 'the', 'remainder', 'of', 'the', 'day.', 'Every\nold', 'tool', 'on', 'the', 'ranch', 'was', 'brought']",1
"['and', 'then,', 'below', 'a', 'more', 'ideal', 'measure,', 'even', 'these\ndeclines', 'had', 'been', 'brief,', 'parenthetic,', 'incidental.', 'In', 'the', 'recognized\nessentials', 'he', 'had', 'always', 'remained', 'strictly', 'within', 'the', 'limit']",2
"['home', 'by', 'rail.', 'In', 'acquiring', 'a', 'nucleus,', 'Wells\nBrothers', 'fell', 'heir', 'to', 'a', 'temporary', 'range', 'and', 'camp,', 'which', 'thereafter\nbecame', 'their', 'headquarters.\n\nA', 'single', 'day', 'was', 'wasted', 'in']",1
"['short', 'bright', 'waves.', 'The', 'air,', 'too,', 'seemed', 'to\nbreak', 'in', 'waves', 'against', 'her,', 'sweeping', 'by', 'on', 'its', 'current', 'all', 'the', 'slanted\nlights', 'and', 'moist', 'sharp', 'perfumes', 'of']",2
"['have', 'been', 'the', 'work', 'of', 'fools.\n\nThis', 'thing', 'is', 'certain--he', 'is', 'a', 'fool', 'who', 'says,', '“No', 'man', 'hath', 'said', 'in', 'his\nheart,', 'There', 'is', 'no', 'God.”\n\nIt', 'has']",0
"['her', 'mind', 'since', 'his', 'return,', 'yet', 'when', 'she', 'had', 'attempted', 'to', 'reveal', 'it\nto', 'him', 'he', 'had', 'turned', 'from', 'the', 'revelation.', 'She', 'was', 'therefore', 'merely\nfollowing', 'the']",2
"['to', 'cut', 'out', 'all', 'strays', 'and\ncripples.', 'One', 'of', 'the', 'boys', 'would', 'return', 'with', 'him,', 'for', 'the', 'expected', 'cow,\nand', 'when', 'volunteers', 'were', 'called', 'for,', 'Dell', 'hesitated']",1
"['their', 'glad', 'step', 'coming,’', 'he', 'said;', '‘and', 'they', 'shall', 'mount!\nthey', 'shall', 'mount!’', 'He', 'raised', 'his', 'shrivelled', 'hand', 'to', 'his', 'eyes.\n\n“Then', 'slowly', 'from', 'the', 'white', 'sky']",0
"['a', 'young', 'man,', 'about', 'eighteen', 'or', 'twenty,\nwho', 'seemed', 'to', 'be', 'reading', 'some', 'favorite', 'book,', 'and', 'who', 'had', 'a', 'remarkably\nnoble', 'countenance--eyes', 'which', 'betrayed', 'more', 'than', 'a']",3
"['hads.', 'What', 'are', 'you', 'giving', 'me?”\n\n“But', 'this', 'is', 'another', 'breed.”\n\n“What', 'do', 'we', 'want', 'of', 'another', 'breed?', ""Isn't"", 'one', 'breed', 'enough?', '_Had_', 'is\n_had_,', 'and', 'your', 'tricking']",3
"['he', 'had\ndetermined', 'to', 'become', 'a', 'student,', 'if', 'he', 'could', 'meet', 'with', 'his', 'approbation.\n“Sir,”', 'said', 'he,', '“I', 'have', 'spent', 'much', 'time', 'in', 'the', 'world.', 'I', 'have']",3
"['that', 'demands', 'the\nbroadest', 'culture,', 'and', 'they', 'have', 'not', 'even', 'the', 'narrowest.', 'The', 'lawyer', 'may\nsee', 'no', 'deeper', 'than', 'his', 'law-books,', 'and', 'the', 'chemist', 'see', 'no', 'further']",0
"['ladder', 'and', 'stand', 'at', 'the', 'bottom.”\n\n“There’s', 'one', 'would', 'be', 'sorry', 'if', 'you', 'were', 'to', 'fall,”', 'said', 'the', 'Hottentot\nmaid,', 'leering', 'at', 'Bonaparte’s', 'pipe,', 'that', 'lay', 'on']",0
"['under', 'herd', 'had', 'been\nsighted', 'by', 'the', 'thousands,', 'and', 'before', 'the', 'camp', 'was', 'made', 'snug,', 'a\nconveyance', 'drove', 'up', 'and', 'Forrest', 'and', 'Don', 'Lovell', 'alighted.\n\n""Well,', 'Bob,', ""you're""]",1
"['I', 'wandered', 'alone\nin', 'the', 'land', 'of', 'night;', 'have', 'I', 'resisted', 'temptation;', 'have', 'I', 'dwelt', 'where', 'the\nvoice', 'of', 'my', 'kind', 'is', 'never', 'heard,', 'and', 'laboured', 'alone,']",0
"['gift.\n\nTheir', 'next', 'meeting', 'had', 'prolonged', 'and', 'deepened', 'the', 'impression.', 'They', 'had\nfound', 'each', 'other', 'again,', 'a', 'few', 'days', 'later,', 'in', 'an', 'old', 'country', 'house', 'full\nof', 'books']",2
"['his', 'weight', 'in', 'wildcats--he', 'knew', 'he', 'was', 'master\nof', 'his', 'own', 'feelings,', 'and', 'could', 'now', 'write', 'a', 'letter', 'that', 'would', 'bring', 'this\nlitigation', 'to', '_an', 'issue._\n\nCumming,', 'January']",3
"['by', 'his', 'winter-worn', 'locks,', 'and', 'trample', 'on', 'his', 'veneration,', 'and', 'deliver\nhim', 'over', 'to', 'the', 'cold', 'charity', 'of', 'combat,', 'and', 'blot', 'him', 'out', 'with', 'his', 'own\nlighted']",3
"['born', 'a', 'woman', 'that', 'he', 'would', 'have', 'been\ncontented', 'to', 'give', 'small', 'tea-parties', 'and', 'talk', 'small', 'scandal?', 'He', 'would\nhave', 'risen;', 'but', 'the', 'world', 'would', 'not', 'have']",0
"['out', 'his', 'hand.\n\n“How', 'do', 'you', 'do,', 'Miss', 'Viner?”\n\nShe', 'answered:', '“How', 'do', 'you', 'do?”', 'in', 'a', 'voice', 'that', 'sounded', 'clear', 'and\nnatural;', 'and', 'the', 'next', 'moment', 'he']",2
"['horizons.', 'The', 'line-camp', 'was', 'abandoned,', 'the\ncattle', 'were', 'scattered', 'over', 'the', 'entire', 'valley,', 'and', 'the', 'instincts', 'to\ngarden', 'were', 'given', 'free', 'rein.', 'The', 'building', 'of', 'two', 'additional']",1
"['trees', 'lash', 'their', 'tops', 'together', 'to', 'bid', 'the', 'welcome', 'visitor', 'a', 'happy\nmuse.', 'Elfonzo,', 'during', 'his', 'short', 'stay', 'in', 'the', 'country,', 'had', 'fully', 'persuaded\nhimself', 'that', 'it']",3
"['him;', 'but', 'he', 'put', 'his', 'head', 'over', 'the', 'half-door', 'of', 'your\ncabin', 'and', 'frightened', 'him', 'horribly.', 'He', 'was', 'there,', 'busy', 'stealing', 'your\nthings.', 'Perhaps', 'he', 'will', 'leave']",0
"['was', 'not', 'eager', 'to', 'define', 'it.', 'She', 'had', 'an', 'extraordinary', 'sensitiveness\nto', 'the', 'impalpable', 'elements', 'of', 'happiness,', 'and', 'as', 'she', 'walked', 'at', 'Darrow’s\nside', 'her', 'imagination', 'flew']",2
"['Elfonzo', 'was', 'immediately\nurged', 'by', 'the', 'recollection', 'of', 'his', ""father's"", 'family', 'to', 'keep', 'moving.\n\nMcClintock', 'has', 'a', 'fine', 'gift', 'in', 'the', 'matter', 'of', 'surprises;', 'but', 'as', 'a']",3
"['had', 'bought', 'with', 'the', 'other\npound;', 'but', 'he', 'would', 'not.\n\n“I', 'found', 'out', 'afterward', 'he', 'was', 'only', 'giving', 'me', 'half', 'as', 'much', 'as', 'he', 'gave', 'to\nthe', 'others--that']",0
"['to\ncattle', 'under', 'herd.""\n\nAll', 'horses', 'were', 'to', 'be', 'left', 'at', 'the', 'new', 'ranch', 'for', 'the', 'winter.', 'Dell\nvolunteered', 'to', 'accompany', 'their', 'guest', 'to', 'the', 'railroad', 'and', 'bring']",1
"['handed', 'to', 'the', 'minister', 'as', 'he\nentered', 'the', 'pulpit.', 'They', 'were', 'merely', 'intended', 'as', 'suggestions,', 'and', 'so', 'the\nfriends', 'were', 'filled', 'with', 'consternation', 'when', 'the', 'minister', 'stood']",3
"['I', 'turned', 'pale', 'at', 'that,', 'for', 'I', 'have', 'made', 'many', 'jokes\nto', 'pass', 'the', 'weary', 'time,', 'and', 'some', 'of', 'them', 'could', 'have', 'been', 'of', 'that', 'sort,\nthough']",3
"['there', 'are', 'some', 'who', 'are', 'not', 'friendly', 'to', 'me.\n\nWith', 'this', 'explanation', 'of', 'my', 'motives,', 'I', 'will', 'now', 'ask', 'you', 'of', 'your', 'courtesy\nto', 'make', 'an', 'appeal']",3
"['little', 'warning.', 'Near', 'the', 'middle', 'of', 'the', 'following', 'afternoon,\na', 'noticeable', 'lull', 'in', 'the', 'wind', 'occurred,', 'followed', 'by', 'a', 'leaden', 'horizon', 'on\nthe', 'west', 'and', 'north.', 'The']",1
"['to', 'seem', 'always', 'wicked?\n\nWe', 'do', 'not', 'yet', 'know', 'that', 'in', 'the', 'soul’s', 'search', 'for', 'truth', 'the', 'bitterness\nlies', 'here,', 'the', 'striving', 'cannot', 'always', 'hide', 'itself', 'among']",0
"['to', 'abandon', 'all', 'the\nendearments', 'and', 'blandishments', 'of', 'home,', 'to', 'act', 'a', 'villainous', 'part,', 'and\nprove', 'a', 'traitor', 'in', 'the', 'revolution', 'of', 'his', 'mission,', 'and', 'then', 'turn']",3
"['had', 'supposed', 'the', 'sense', 'of', 'honour', 'was', 'her\ndeepest', 'sentiment:', 'if', 'she', 'had', 'smiled', 'at', 'the', 'conventions', 'of', 'others', 'it', 'was\nbecause', 'they', 'were', 'too', 'trivial,', 'not']",2
"['do\nnot', 'be', 'disturbed.', 'Whatever', 'the', 'consequences,', 'I', 'forgive', 'you.', 'I', 'know,', 'I\nbelieve,', 'it', 'was', 'with', 'no', 'ill-intent', 'that', 'you', 'allowed', 'me', 'to', 'go', 'out.', 'Give\nme']",0
"['of', 'Tant', 'Sannie', 'was', 'heard.\n\n“You', 'child,', 'of', 'the', 'child,', 'of', 'the', 'child', 'of', 'a', 'Kaffer’s', 'dog,', 'come', 'here!”\n\nThe', 'German', 'looked', 'up.', 'He', 'thought', 'the', 'Dutchwoman,']",0
"['were', 'advised', 'to', 'file', 'their', 'order', 'for\ncorn,', 'and', 'to', 'advance', 'a', 'liberal', 'payment', 'to', 'insure', 'attention.', 'All', 'details\nof', 'the', 'ranch', 'seemed', 'well', 'in', 'hand,', 'the']",1
"['felt', 'the', 'desire\nto', 'right', 'so', 'clumsy', 'an', 'injustice.\n\nWhen', 'he', 'returned', 'to', 'the', 'box', 'she', 'was', 'still', 'standing', 'in', 'the', 'doorway,\nand', 'he', 'noticed', 'that', 'his', 'were']",2
"['never', 'known', 'how', 'to', 'reveal', 'herself', 'to\nDarrow.\n\nAs', 'the', 'courtship', 'progressed,', 'and', 'they', 'grew', 'more', 'confidential,', 'her\nsuitor', 'surprised', 'and', 'delighted', 'her', 'by', 'little', 'explosions', 'of', 'revolutionary\nsentiment.']",2
"['little\nGerman', 'village,', 'where,', 'fifty', 'years', 'before,', 'a', 'little', 'German', 'boy', 'had\nplayed', 'at', 'snowballs,', 'and', 'had', 'carried', 'home', 'the', 'knitted', 'stockings', 'of', 'a\nlittle', 'girl', 'who', 'afterward']",0
"['of', 'men.\n\n“‘Who', 'are', 'you?’', 'asked', 'the', 'hunter.\n\n“‘I', 'am', 'Wisdom,’', 'answered', 'the', 'old', 'man;', '‘but', 'some', 'men', 'call', 'me', 'Knowledge.\nAll', 'my', 'life', 'I', 'have', 'grown', 'in']",0
"['of', 'panting', 'wonder,', 'as', 'though', 'it', 'had\nbeen', 'a', 'storm', 'or', 'some', 'other', 'natural', 'cataclysm.', 'She', 'had', 'no', 'literary', 'or\nhistoric', 'associations', 'to', 'which', 'to', 'attach', 'her']",2
"['and', 'crossed\nthe', 'Beaver.\n\n""I\'m', 'corporal', 'here', 'to-day,""', 'said', 'Straw', 'to', 'the', 'two', 'foremen,', 'who', 'arrived\ntogether', 'in', 'advance.', '""On', 'this', 'water,', ""I'm"", 'the', 'squatter', ""that'll"", 'rob', 'you\nright.']",1
"['one,', 'or', 'listening', 'for', 'an', 'approaching', 'sound,\nas', 'letting', 'the', 'whole', 'aspect', 'of', 'the', 'place', 'sink', 'into', 'her', 'while', 'she', 'held\nherself', 'open', 'to', 'its', 'influence.', 'Yet']",2
"['been', 'upon', 'the', 'purse,', 'and\nSally', 'had', 'seldom', 'known', 'what', 'it', 'was', 'to', 'be', 'privileged', 'to', 'squander', 'a', 'dime\non', 'non-necessities.\n\n“Thir-ty', 'thousand', 'dollars!”', 'the', 'song', 'went', 'on']",3
"['eyes', 'and', 'wrinkled', 'her', 'low', 'forehead.\n\n“Where', 'will', 'you', 'find', 'them,', 'Lyndall?', 'The', 'stones', 'are', 'only', 'crystals', 'that', 'we\npicked', 'up', 'yesterday.', 'Old', 'Otto', 'says', 'so.”\n\n“And', 'you']",0
"[""That's"", 'the', 'way', ""I've"", 'got', 'you', 'sized', 'up--die', 'rather', 'than', 'show\nthe', 'white', 'feather.', 'Come', 'on,', 'Dell;', ""we're"", 'sleeping', 'in', 'the', 'summer.""\n\n\n\n\nCHAPTER', 'IX\n\nA', 'WINTRY', 'CRUCIBLE\n\n\nThe', 'dreaded']",1
"['a', 'praying', 'German,', 'are', 'you', 'deaf?”\n\nTant', 'Sannie', 'stood', 'before', 'the', 'steps', 'of', 'the', 'kitchen;', 'upon', 'them', 'sat', 'the\nlean', 'Hottentot,', 'upon', 'the', 'highest', 'stood', 'Bonaparte', 'Blenkins,']",0
"['her.', 'It', 'was', 'a', 'word', 'from', 'Darrow--“May', 'I', 'see', 'you?”--and', 'she', 'said\nat', 'once,', 'in', 'a', 'voice', 'that', 'sounded', 'thin', 'and', 'empty:', '“Ask', 'Mr.', 'Darrow', 'to']",2
"['not', 'care.', 'Let', 'it', 'boil', 'about.', 'Why', 'should', 'we\ntrouble', 'ourselves?', 'Nevertheless', 'the', 'physical', 'sensations', 'are', 'real.\nHunger', 'hurts,', 'and', 'thirst,', 'therefore', 'we', 'eat', 'and', 'drink:', 'inaction']",0
"['of', 'the', 'servants', 'were', 'about.', 'Em', 'came', 'up', 'close', 'to', 'him', 'and', 'put\nher', 'little', 'hand', 'softly', 'on', 'his', 'arm', 'as', 'he', 'stood', 'by', 'his', 'horse.\n\n“I']",0
"[""one's"", 'friends.\nIn', 'the', 'matter', 'of', 'world', 'news', 'there', 'was', 'not', 'too', 'much,', 'but', 'just', 'about\nenough.', 'I', 'subscribed.', 'I', 'have', 'had', 'no', 'occasion', 'to', 'regret', 'it.']",3
"['line', 'to', 'the', 'north,', 'with\nunknown', 'neighbors', 'on', 'the', 'west', 'in', 'Colorado.\n\n""It\'s', 'a', 'clear', 'field,""', 'observed', 'the', 'old', 'factor.', '""Your', 'own', 'are', 'the', 'only\ncattle', 'endangered,', 'and']",1
"['never', 'dreamed', 'it!', 'I\nthought', 'you’d', 'always', 'had', 'everything', 'in', 'the', 'world', 'you', 'wanted!”\n\nDarrow', 'broke', 'into', 'a', 'laugh', 'at', 'this', 'ingenuous', 'picture', 'of', 'his', 'state.', 'He\nwas']",2
"['the', 'last,', 'had', 'kept', 'up', 'so', 'complete', 'a', 'feint\nof', 'harmony', 'that,', 'whatever', 'Owen', 'had', 'surmised,', 'he', 'could', 'scarcely', 'have\nrisked', 'acting', 'on', 'his', 'suspicions.', 'If', 'he']",2
